num_sites,gap_length,missing_fraction,experiment_name,imputer_name,imputer_details,RMSE,MAE
2,14,5.583259998044392,MissForestImputer(max_iter=10)_missing90_sites2_gaplen14,MissForest,MissForestImputer(max_iter=10),0.01804621648861337,0.0008395559686080111
2,21,5.720152537400997,MissForestImputer(max_iter=10)_missing90_sites2_gaplen21,MissForest,MissForestImputer(max_iter=10),0.02317468677133754,0.001279323626600581
2,35,5.9939376161142075,MissForestImputer(max_iter=10)_missing90_sites2_gaplen35,MissForest,MissForestImputer(max_iter=10),0.024306673085915637,0.0017986348616274267
2,56,6.404615234184023,MissForestImputer(max_iter=10)_missing90_sites2_gaplen56,MissForest,MissForestImputer(max_iter=10),0.04307862191359884,0.0037989807930607178
2,90,7.069521853916104,MissForestImputer(max_iter=10)_missing90_sites2_gaplen90,MissForest,MissForestImputer(max_iter=10),0.04222699747113814,0.0038379987608426367
4,7,5.583259998044392,MissForestImputer(max_iter=10)_missing90_sites4_gaplen7,MissForest,MissForestImputer(max_iter=10),0.012338996261370881,0.0004841997108632804
4,14,5.857045076757602,MissForestImputer(max_iter=10)_missing90_sites4_gaplen14,MissForest,MissForestImputer(max_iter=10),0.017203796679152325,0.0009390726972325465
4,21,6.130830155470813,MissForestImputer(max_iter=10)_missing90_sites4_gaplen21,MissForest,MissForestImputer(max_iter=10),0.021735777322414346,0.0014719754233787677
4,35,6.6784003128972325,MissForestImputer(max_iter=10)_missing90_sites4_gaplen35,MissForest,MissForestImputer(max_iter=10),0.025677717748169262,0.0022067110698058665
4,56,7.460643394934976,MissForestImputer(max_iter=10)_missing90_sites4_gaplen56,MissForest,MissForestImputer(max_iter=10),0.045011802230930584,0.004347601197852127
4,90,8.819790749975555,MissForestImputer(max_iter=10)_missing90_sites4_gaplen90,MissForest,MissForestImputer(max_iter=10),0.05533909904111889,0.0063420043370508074
6,7,5.720152537400997,MissForestImputer(max_iter=10)_missing90_sites6_gaplen7,MissForest,MissForestImputer(max_iter=10),0.0146033463153467,0.0006755266418835256
6,14,6.130830155470813,MissForestImputer(max_iter=10)_missing90_sites6_gaplen14,MissForest,MissForestImputer(max_iter=10),0.018350539095318297,0.0012692234613795913
6,21,6.541507773540628,MissForestImputer(max_iter=10)_missing90_sites6_gaplen21,MissForest,MissForestImputer(max_iter=10),0.02421860354270779,0.001990797191243282
6,35,7.362863009680258,MissForestImputer(max_iter=10)_missing90_sites6_gaplen35,MissForest,MissForestImputer(max_iter=10),0.03781927716712785,0.003646489054109876
6,56,8.555783709787816,MissForestImputer(max_iter=10)_missing90_sites6_gaplen56,MissForest,MissForestImputer(max_iter=10),0.05497900786194009,0.006463658612143747
6,90,10.37449887552557,MissForestImputer(max_iter=10)_missing90_sites6_gaplen90,MissForest,MissForestImputer(max_iter=10),0.06340772226734699,0.009694842007434966
2,7,5.446367458687787,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites2_gaplen7",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.0157733848478389,0.00048141263940520453
2,14,5.583259998044392,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites2_gaplen14",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.020490638698362523,0.0008830028913672036
2,21,5.720152537400997,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites2_gaplen21",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.03210091770966308,0.0016630524576621232
2,35,5.9939376161142075,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites2_gaplen35",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.05474322735973467,0.003577034283353986
2,56,6.404615234184023,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites2_gaplen56",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.05648701659847697,0.004865241635687732
2,90,7.069521853916104,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites2_gaplen90",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.04703292500681204,0.004738950846757538
4,7,5.583259998044392,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites4_gaplen7",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.02981029272333862,0.0009808963238331263
4,14,5.857045076757602,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites4_gaplen14",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.03571808358870752,0.0017509293680297402
4,21,6.130830155470813,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites4_gaplen21",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.03913147988365853,0.0022774679884345317
4,35,6.6784003128972325,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites4_gaplen35",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.04728150141310804,0.00402034283353986
4,56,7.460643394934976,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites4_gaplen56",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.06710108153005508,0.0068194960760016516
4,90,8.819790749975555,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites4_gaplen90",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.0632111062138727,0.008133002891367206
6,7,5.720152537400997,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites6_gaplen7",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.030656236440792167,0.0012755059892606351
6,14,6.130830155470813,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites6_gaplen14",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.04061245040173282,0.0024944237918215605
6,21,6.541507773540628,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites6_gaplen21",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.04682085190015158,0.003624225526641884
6,35,7.362863009680258,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites6_gaplen35",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.06094021691112301,0.005890128046261876
6,56,8.555783709787816,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites6_gaplen56",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.07819833208483981,0.009688351920693925
6,90,10.37449887552557,"MICEImputer(k_pmm=3,n_iterations=10)_missing90_sites6_gaplen90",MICE,"MICEImputer(k_pmm=3,n_iterations=10)",0.0801822589540272,0.012797294506402311
