Baie au Saumon,Baie de Gaspe,Baie de plaisance,Baie des Belles Amours,Bassin du Havre Aubert,Cascapedia,Grande Riviere,Grande-Entree,Ile Bonaventure,La jetee de Cap-aux-Meules,Lagune de Havre-aux-Maisons,Marina de Cap-aux-Meules,Marina de Chandler,Marina de Gaspe,Marina de Havre Aubert,Marina de Havre St-Pierre,Marina de Rimouski,Marina de Sainte-Anne-des-Monts,Marina de Sept-iles,Marina de Tadoussac,Marina de l Anse-a-Beaufils,Marina du Havre-aux-Maisons,Mine Seleine,Mont-Louis,Newport,Port de Gros Cacouna,Port-Cartier Quai de Arcelor Mital,Quai CTMA Chandler,Quai Ivan Quinn,Quai commercial de Baie-Comeau,Quai commercial de Cap-aux-Meules,Quai de Mingan,Quai de Pointe-Basse,Quai de Sainte-Therese,Quai de la Relance,Quai des Pilotes des Escoumins,Quai des pecheurs de Cap-aux-Meules,Riviere au Renard,Site aquicole de Grande Entree,Site aquicole de Paspebiac,Site aquicole de Sept-Iles,St-Simeon,Tourelle,Tracadigache
8.447429999999995,6.90447,9.625350000000003,4.935970000000001,17.198459999999987,5.677400000000002,13.390369999999995,14.935319999999999,11.789730000000006,14.712639999999995,16.368449999999996,15.307489999999998,14.059670000000006,9.730029999999992,16.568389999999994,8.317079999999997,13.268710000000004,9.481100000000009,11.05269,8.470690000000001,12.625240000000002,15.394569999999996,16.004060000000006,9.499089999999997,13.583000000000006,11.332019999999995,10.449039999999998,13.486279999999999,14.318600000000002,8.11328,14.412319999999996,7.343380000000001,15.305180000000014,10.942880000000002,11.960580000000002,6.522049999999999,15.386289999999997,10.48942,15.576210000000005,6.984,13.22189,10.106560000000005,10.220249999999997,9.041719999999998
7.865909999999993,6.741410000000001,11.623309999999995,4.282880000000002,16.815309999999982,5.853739999999998,13.244250000000001,15.055580000000006,12.263800000000005,14.797859999999993,15.962830000000004,15.299159999999997,13.665980000000005,9.603519999999996,16.196339999999992,8.03986,5.370570000000002,9.421110000000006,9.60817,6.684399999999998,12.994300000000003,15.391749999999996,15.899820000000012,9.472039999999996,13.52785,9.375650000000002,8.6329,12.87231000000001,14.584450000000002,7.622650000000001,14.586260000000005,6.943479999999999,15.350910000000006,11.886670000000004,9.224040000000004,6.976659999999998,15.375649999999986,10.483070000000003,15.28833,7.894,7.1561100000000035,6.763029999999994,10.189559999999998,7.96906
7.972979999999994,7.005199999999999,11.722609999999996,5.137800000000001,16.795229999999986,6.913559999999997,13.239160000000004,15.036200000000006,12.237290000000005,14.806609999999996,15.975810000000003,15.300599999999996,13.662550000000005,9.731719999999994,16.20389999999999,8.006089999999999,5.440830000000001,9.314819999999996,9.07142,6.696519999999998,13.016090000000002,15.29805,15.946540000000013,9.191509999999996,13.522690000000003,8.979109999999999,8.52405,12.87231000000001,14.61495,7.51591,14.589950000000004,6.896229999999999,15.351440000000002,11.934030000000002,9.049730000000004,6.9078599999999994,15.373869999999988,10.502190000000002,15.308919999999995,8.626,7.087960000000004,6.763599999999994,10.076140000000004,8.116569999999998
8.085509999999994,8.80492999999999,10.428079999999996,5.29237,16.847359999999984,10.142169999999995,13.24497,14.967059999999996,12.239510000000006,14.802539999999995,16.03332,15.328539999999998,13.669250000000002,11.139839999999998,16.26258,8.368159999999996,5.348480000000002,9.903360000000001,11.09393,7.142279999999999,12.983630000000003,15.455759999999996,15.873070000000011,10.309759999999999,13.495650000000001,9.876300000000004,10.752650000000001,12.870200000000006,14.630460000000006,9.17622,14.612130000000002,7.348059999999996,15.310710000000006,11.968440000000003,12.047429999999999,7.230659999999997,15.387359999999994,10.629870000000004,15.312069999999997,9.171,13.73549,6.7564999999999955,10.399589999999995,9.977470000000002
8.441729999999996,6.828360000000001,9.595970000000001,4.767726666666668,17.154169999999986,5.686320000000002,13.28192,14.957809999999997,11.809310000000007,14.727709999999995,16.362029999999994,15.308439999999996,14.057080000000006,9.752229999999992,16.58061,8.29717,13.264800000000003,8.916329999999997,11.000040000000002,8.30255,12.98379,15.411709999999998,15.971230000000002,9.085639999999998,13.559420000000005,10.90641,10.346679999999997,13.44749,14.346370000000002,8.14116,14.423880000000004,7.251180000000001,15.305740000000013,11.441430000000002,11.898060000000008,6.510830000000001,15.380479999999995,10.43395,15.605190000000004,7.13,8.751,10.105830000000005,9.749670000000002,8.94531
8.580729999999997,6.89416,9.617190000000004,4.942990000000002,17.16009999999999,5.686800000000004,13.441319999999996,14.922489999999998,11.834900000000005,14.740739999999994,16.392989999999998,15.306289999999997,14.059220000000005,9.745719999999993,16.564639999999994,8.311219999999997,13.292980000000002,9.485960000000007,11.0995,8.454600000000001,12.984670000000001,15.448489999999994,16.009850000000004,9.500329999999998,13.583000000000006,11.325529999999997,10.534739999999998,13.53453,14.35006,8.06711,14.41394,7.340040000000001,15.319730000000014,11.413400000000003,11.956200000000003,6.42721,15.386509999999996,10.441,15.582720000000009,5.935,13.236009999999997,10.121600000000003,10.220249999999997,9.038529999999998
7.940679999999994,6.8706,11.656179999999996,4.164820000000002,16.806409999999985,5.849359999999998,13.242030000000002,15.053100000000006,12.261890000000005,14.797859999999993,15.960300000000004,15.296859999999997,13.675080000000005,9.609699999999995,16.202109999999994,7.977919999999999,5.415430000000002,9.437930000000005,9.00554,6.761719999999996,13.011750000000001,15.30663,15.929560000000015,9.453289999999996,13.52466,9.20799,8.22152,12.928880000000008,14.654220000000002,7.569920000000001,14.593510000000004,6.92294,15.359780000000006,11.925110000000004,9.019070000000001,6.938969999999999,15.37997999999999,10.496580000000003,15.299839999999996,7.869,7.159000000000003,6.763479999999995,10.188899999999999,7.966079999999997
7.937019999999995,8.590359999999997,12.454099999999999,5.415260000000002,16.782199999999985,9.029539999999999,13.272430000000002,15.045310000000006,12.153100000000004,14.823239999999991,15.944040000000003,15.293279999999998,13.656320000000003,10.857,16.108799999999995,7.890869999999998,5.584300000000001,4.330639999999995,8.92297,6.872319999999998,13.041430000000002,15.316299999999996,15.941230000000013,9.198249999999996,13.539920000000004,8.859319999999999,7.9551300000000005,12.876380000000008,14.690560000000005,7.657360000000002,14.609590000000003,6.91656,15.323210000000008,11.937830000000003,8.960890000000004,6.956039999999998,15.361109999999991,9.851,15.318329999999994,9.047,7.134910000000003,6.766479999999994,7.508020000000001,8.543629999999999
7.644289999999993,11.4175,8.67979,6.019220000000001,12.040859999999999,10.420579999999996,8.63493,10.448790000000004,14.939030000000011,10.812869999999997,11.60364,10.774,9.570130000000004,13.025,11.995,8.253890000000004,5.626229999999996,8.880849999999992,9.647540000000003,6.182050000000004,10.07297999999999,11.32,11.410949999999998,8.492159999999998,9.341919999999996,8.816600000000001,9.177109999999994,8.331440000000002,10.558240000000005,8.9203,10.494,7.274500000000005,10.476,8.10396,9.745830000000003,5.912140000000001,10.88782,10.766,11.052730000000002,9.599,7.304200000000004,6.780189999999996,9.751870000000002,11.878349999999996
7.998999999999994,11.502110000000002,9.460690000000007,6.071989999999997,13.870710000000004,10.885129999999997,10.952759999999994,11.083,15.310960000000012,11.613670000000004,13.435270000000008,11.835,11.649879999999994,12.788,13.55,8.299440000000004,10.704410000000006,9.333429999999995,9.71613,8.49208,11.29146999999999,12.604,13.931,9.228039999999998,11.355940000000006,10.34473,9.417139999999995,10.986490000000003,10.972,8.61673,11.625,7.0696699999999995,11.772,9.496459999999995,9.676150000000005,5.846929999999999,11.960059999999993,10.833,11.813379999999986,10.148,7.214310000000001,8.905799999999989,10.15389,11.934820000000002
