segment,waterbody,station,depth (m),deployment_start_date (UTC),deployment_end_date (UTC)
Lunenburg_St. Margarets Bay_Tilley Point_25.0_2022-11-03T00:00:00Z_2023-05-15T00:00:00Z,St. Margarets Bay,Tilley Point,25.0,2022-11-03T00:00:00Z,2023-05-15T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_20.0_2022-11-03T00:00:00Z_2023-05-15T00:00:00Z,St. Margarets Bay,Tilley Point,20.0,2022-11-03T00:00:00Z,2023-05-15T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_10.0_2022-11-03T00:00:00Z_2023-05-15T00:00:00Z,St. Margarets Bay,Tilley Point,10.0,2022-11-03T00:00:00Z,2023-05-15T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_2.0_2022-11-03T00:00:00Z_2023-05-15T00:00:00Z,St. Margarets Bay,Tilley Point,2.0,2022-11-03T00:00:00Z,2023-05-15T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_30.0_2022-11-03T00:00:00Z_2023-05-15T00:00:00Z,St. Margarets Bay,Tilley Point,30.0,2022-11-03T00:00:00Z,2023-05-15T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_5.0_2022-11-03T00:00:00Z_2023-05-15T00:00:00Z,St. Margarets Bay,Tilley Point,5.0,2022-11-03T00:00:00Z,2023-05-15T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_10.0_2022-11-03T00:00:00Z_2023-05-15T00:00:00Z,St. Margarets Bay,Birchy Head,10.0,2022-11-03T00:00:00Z,2023-05-15T00:00:00Z
Lunenburg_Mahone Bay_Upper Blandford_27.0_2022-11-19T00:00:00Z_2024-05-30T00:00:00Z,Mahone Bay,Upper Blandford,27.0,2022-11-19T00:00:00Z,2024-05-30T00:00:00Z
Lunenburg_Mahone Bay_Upper Blandford_10.0_2022-11-19T00:00:00Z_2024-05-30T00:00:00Z,Mahone Bay,Upper Blandford,10.0,2022-11-19T00:00:00Z,2024-05-30T00:00:00Z
Lunenburg_Mahone Bay_Upper Blandford_20.0_2022-11-19T00:00:00Z_2024-05-30T00:00:00Z,Mahone Bay,Upper Blandford,20.0,2022-11-19T00:00:00Z,2024-05-30T00:00:00Z
Lunenburg_Mahone Bay_Upper Blandford_15.0_2022-11-19T00:00:00Z_2024-05-30T00:00:00Z,Mahone Bay,Upper Blandford,15.0,2022-11-19T00:00:00Z,2024-05-30T00:00:00Z
Lunenburg_Mahone Bay_Upper Blandford_5.0_2022-11-19T00:00:00Z_2024-05-30T00:00:00Z,Mahone Bay,Upper Blandford,5.0,2022-11-19T00:00:00Z,2024-05-30T00:00:00Z
Lunenburg_Mahone Bay_Upper Blandford_2.0_2022-11-19T00:00:00Z_2024-05-30T00:00:00Z,Mahone Bay,Upper Blandford,2.0,2022-11-19T00:00:00Z,2024-05-30T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_10.0_2022-11-19T00:00:00Z_2023-05-09T00:00:00Z,Mahone Bay,Little Rafuse Island,10.0,2022-11-19T00:00:00Z,2023-05-09T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_20.0_2022-11-19T00:00:00Z_2023-05-09T00:00:00Z,Mahone Bay,Little Rafuse Island,20.0,2022-11-19T00:00:00Z,2023-05-09T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_2.0_2022-11-19T00:00:00Z_2023-05-09T00:00:00Z,Mahone Bay,Little Rafuse Island,2.0,2022-11-19T00:00:00Z,2023-05-09T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_15.0_2022-11-19T00:00:00Z_2023-05-09T00:00:00Z,Mahone Bay,Little Rafuse Island,15.0,2022-11-19T00:00:00Z,2023-05-09T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_5.0_2022-11-19T00:00:00Z_2023-05-09T00:00:00Z,Mahone Bay,Little Rafuse Island,5.0,2022-11-19T00:00:00Z,2023-05-09T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_25.0_2022-11-19T00:00:00Z_2023-05-09T00:00:00Z,Mahone Bay,Little Rafuse Island,25.0,2022-11-19T00:00:00Z,2023-05-09T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_15.0_2022-11-19T00:00:00Z_2023-01-10T00:00:00Z,Mahone Bay,Flat Island,15.0,2022-11-19T00:00:00Z,2023-01-10T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_2.0_2022-11-19T00:00:00Z_2023-01-10T00:00:00Z,Mahone Bay,Flat Island,2.0,2022-11-19T00:00:00Z,2023-01-10T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_10.0_2022-11-19T00:00:00Z_2023-01-10T00:00:00Z,Mahone Bay,Flat Island,10.0,2022-11-19T00:00:00Z,2023-01-10T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_5.0_2022-11-19T00:00:00Z_2023-01-10T00:00:00Z,Mahone Bay,Flat Island,5.0,2022-11-19T00:00:00Z,2023-01-10T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_2.0_2023-05-08T00:00:00Z_2023-11-09T00:00:00Z,Mahone Bay,Flat Island,2.0,2023-05-08T00:00:00Z,2023-11-09T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_5.0_2023-05-08T00:00:00Z_2023-11-09T00:00:00Z,Mahone Bay,Flat Island,5.0,2023-05-08T00:00:00Z,2023-11-09T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_15.0_2023-05-08T00:00:00Z_2023-11-09T00:00:00Z,Mahone Bay,Flat Island,15.0,2023-05-08T00:00:00Z,2023-11-09T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_10.0_2023-05-08T00:00:00Z_2023-11-09T00:00:00Z,Mahone Bay,Flat Island,10.0,2023-05-08T00:00:00Z,2023-11-09T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_20.0_2023-05-08T00:00:00Z_2023-11-09T00:00:00Z,Mahone Bay,Flat Island,20.0,2023-05-08T00:00:00Z,2023-11-09T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_5.0_2023-05-08T00:00:00Z_2023-11-09T00:00:00Z,Mahone Bay,Little Rafuse Island,5.0,2023-05-08T00:00:00Z,2023-11-09T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_10.0_2023-05-08T00:00:00Z_2023-11-09T00:00:00Z,Mahone Bay,Little Rafuse Island,10.0,2023-05-08T00:00:00Z,2023-11-09T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_2.0_2023-05-08T00:00:00Z_2023-11-09T00:00:00Z,Mahone Bay,Little Rafuse Island,2.0,2023-05-08T00:00:00Z,2023-11-09T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_15.0_2023-05-08T00:00:00Z_2023-11-09T00:00:00Z,Mahone Bay,Little Rafuse Island,15.0,2023-05-08T00:00:00Z,2023-11-09T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_20.0_2023-05-08T00:00:00Z_2023-11-09T00:00:00Z,Mahone Bay,Little Rafuse Island,20.0,2023-05-08T00:00:00Z,2023-11-09T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_25.0_2023-05-08T00:00:00Z_2023-11-09T00:00:00Z,Mahone Bay,Little Rafuse Island,25.0,2023-05-08T00:00:00Z,2023-11-09T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_25.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Tilley Point,25.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_5.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Tilley Point,5.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_2.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Tilley Point,2.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_30.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Tilley Point,30.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_10.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Tilley Point,10.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_15.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Tilley Point,15.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_20.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Tilley Point,20.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_2.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Birchy Head,2.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_10.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Birchy Head,10.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_30.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Birchy Head,30.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_20.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Birchy Head,20.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_15.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Birchy Head,15.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_5.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Birchy Head,5.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_40.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Birchy Head,40.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_37.0_2023-05-15T00:00:00Z_2023-11-10T00:00:00Z,St. Margarets Bay,Tilley Point,37.0,2023-05-15T00:00:00Z,2023-11-10T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_20.0_2023-11-09T00:00:00Z_2024-05-02T00:00:00Z,Mahone Bay,Flat Island,20.0,2023-11-09T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_5.0_2023-11-09T00:00:00Z_2024-05-02T00:00:00Z,Mahone Bay,Flat Island,5.0,2023-11-09T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_2.0_2023-11-09T00:00:00Z_2024-05-02T00:00:00Z,Mahone Bay,Flat Island,2.0,2023-11-09T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_10.0_2023-11-09T00:00:00Z_2024-05-02T00:00:00Z,Mahone Bay,Flat Island,10.0,2023-11-09T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_15.0_2023-11-09T00:00:00Z_2024-05-02T00:00:00Z,Mahone Bay,Flat Island,15.0,2023-11-09T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_25.0_2023-11-09T00:00:00Z_2024-05-02T00:00:00Z,Mahone Bay,Little Rafuse Island,25.0,2023-11-09T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_5.0_2023-11-09T00:00:00Z_2024-05-02T00:00:00Z,Mahone Bay,Little Rafuse Island,5.0,2023-11-09T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_10.0_2023-11-09T00:00:00Z_2024-05-02T00:00:00Z,Mahone Bay,Little Rafuse Island,10.0,2023-11-09T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_15.0_2023-11-09T00:00:00Z_2024-05-02T00:00:00Z,Mahone Bay,Little Rafuse Island,15.0,2023-11-09T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_20.0_2023-11-09T00:00:00Z_2024-05-02T00:00:00Z,Mahone Bay,Little Rafuse Island,20.0,2023-11-09T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_2.0_2023-11-09T00:00:00Z_2024-05-02T00:00:00Z,Mahone Bay,Little Rafuse Island,2.0,2023-11-09T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_40.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Birchy Head,40.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_5.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Birchy Head,5.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_20.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Birchy Head,20.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_30.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Birchy Head,30.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_2.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Birchy Head,2.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_15.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Birchy Head,15.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_10.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Birchy Head,10.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_15.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Tilley Point,15.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_20.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Tilley Point,20.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_25.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Tilley Point,25.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_30.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Tilley Point,30.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_5.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Tilley Point,5.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_37.0_2023-11-10T00:00:00Z_2024-05-02T00:00:00Z,St. Margarets Bay,Tilley Point,37.0,2023-11-10T00:00:00Z,2024-05-02T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_15.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,Mahone Bay,Little Rafuse Island,15.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_20.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,Mahone Bay,Little Rafuse Island,20.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_10.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,Mahone Bay,Little Rafuse Island,10.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_2.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,Mahone Bay,Little Rafuse Island,2.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_5.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,Mahone Bay,Little Rafuse Island,5.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_10.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,Mahone Bay,Flat Island,10.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_15.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,Mahone Bay,Flat Island,15.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_2.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,Mahone Bay,Flat Island,2.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_5.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,Mahone Bay,Flat Island,5.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_15.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Birchy Head,15.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_30.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Birchy Head,30.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_5.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Birchy Head,5.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_10.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Birchy Head,10.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_20.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Birchy Head,20.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_25.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Tilley Point,25.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_2.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Tilley Point,2.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_30.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Tilley Point,30.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_20.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Tilley Point,20.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_10.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Tilley Point,10.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_15.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Tilley Point,15.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_5.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Tilley Point,5.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_Mahone Bay_Little Rafuse Island_25.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,Mahone Bay,Little Rafuse Island,25.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_Mahone Bay_Flat Island_20.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,Mahone Bay,Flat Island,20.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Birchy Head_40.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Birchy Head,40.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Lunenburg_St. Margarets Bay_Tilley Point_37.0_2024-05-02T00:00:00Z_2024-11-21T00:00:00Z,St. Margarets Bay,Tilley Point,37.0,2024-05-02T00:00:00Z,2024-11-21T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_2.0_2020-10-01T00:00:00Z_2021-06-24T00:00:00Z,Merigomish Harbour,Olding Island,2.0,2020-10-01T00:00:00Z,2021-06-24T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_5.0_2020-10-01T00:00:00Z_2021-06-24T00:00:00Z,Merigomish Harbour,Olding Island,5.0,2020-10-01T00:00:00Z,2021-06-24T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_8.0_2020-10-01T00:00:00Z_2021-06-24T00:00:00Z,Merigomish Harbour,Olding Island,8.0,2020-10-01T00:00:00Z,2021-06-24T00:00:00Z
Pictou_Little Harbour_Melmerby Beach_1.0_2020-10-01T00:00:00Z_2021-06-04T00:00:00Z,Little Harbour,Melmerby Beach,1.0,2020-10-01T00:00:00Z,2021-06-04T00:00:00Z
Pictou_Little Harbour_Melmerby Beach_2.0_2020-10-01T00:00:00Z_2021-06-04T00:00:00Z,Little Harbour,Melmerby Beach,2.0,2020-10-01T00:00:00Z,2021-06-04T00:00:00Z
Pictou_Little Harbour_Melmerby Beach_1.0_2021-06-04T00:00:00Z_2022-06-19T00:00:00Z,Little Harbour,Melmerby Beach,1.0,2021-06-04T00:00:00Z,2022-06-19T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_3.0_2021-06-24T00:00:00Z_2022-05-26T00:00:00Z,Merigomish Harbour,Olding Island,3.0,2021-06-24T00:00:00Z,2022-05-26T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_5.0_2021-06-24T00:00:00Z_2022-05-26T00:00:00Z,Merigomish Harbour,Olding Island,5.0,2021-06-24T00:00:00Z,2022-05-26T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_3.0_2022-06-03T00:00:00Z_2022-09-30T00:00:00Z,Merigomish Harbour,Olding Island,3.0,2022-06-03T00:00:00Z,2022-09-30T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_2.0_2022-06-03T00:00:00Z_2022-09-30T00:00:00Z,Merigomish Harbour,Olding Island,2.0,2022-06-03T00:00:00Z,2022-09-30T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_5.0_2022-06-03T00:00:00Z_2022-09-30T00:00:00Z,Merigomish Harbour,Olding Island,5.0,2022-06-03T00:00:00Z,2022-09-30T00:00:00Z
Pictou_Little Harbour_Roy Island 1_0.5_2022-06-07T00:00:00Z_2022-09-21T00:00:00Z,Little Harbour,Roy Island 1,0.5,2022-06-07T00:00:00Z,2022-09-21T00:00:00Z
Pictou_Little Harbour_Roy Island 2_0.5_2022-06-07T00:00:00Z_2022-09-20T00:00:00Z,Little Harbour,Roy Island 2,0.5,2022-06-07T00:00:00Z,2022-09-20T00:00:00Z
Pictou_Little Harbour_Roy Island 3_0.5_2022-06-07T00:00:00Z_2022-09-20T00:00:00Z,Little Harbour,Roy Island 3,0.5,2022-06-07T00:00:00Z,2022-09-20T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_3.0_2022-09-30T00:00:00Z_2023-07-20T00:00:00Z,Merigomish Harbour,Olding Island,3.0,2022-09-30T00:00:00Z,2023-07-20T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_2.0_2022-09-30T00:00:00Z_2023-07-20T00:00:00Z,Merigomish Harbour,Olding Island,2.0,2022-09-30T00:00:00Z,2023-07-20T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_5.0_2022-09-30T00:00:00Z_2023-07-20T00:00:00Z,Merigomish Harbour,Olding Island,5.0,2022-09-30T00:00:00Z,2023-07-20T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_2.0_2023-07-20T00:00:00Z_2023-11-01T00:00:00Z,Merigomish Harbour,Olding Island,2.0,2023-07-20T00:00:00Z,2023-11-01T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_5.0_2023-07-20T00:00:00Z_2023-11-01T00:00:00Z,Merigomish Harbour,Olding Island,5.0,2023-07-20T00:00:00Z,2023-11-01T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_3.0_2023-07-20T00:00:00Z_2023-11-01T00:00:00Z,Merigomish Harbour,Olding Island,3.0,2023-07-20T00:00:00Z,2023-11-01T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_3.0_2023-11-01T00:00:00Z_2024-05-15T00:00:00Z,Merigomish Harbour,Olding Island,3.0,2023-11-01T00:00:00Z,2024-05-15T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_2.0_2023-11-01T00:00:00Z_2024-05-15T00:00:00Z,Merigomish Harbour,Olding Island,2.0,2023-11-01T00:00:00Z,2024-05-15T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_5.0_2023-11-01T00:00:00Z_2024-05-15T00:00:00Z,Merigomish Harbour,Olding Island,5.0,2023-11-01T00:00:00Z,2024-05-15T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_3.0_2024-05-15T00:00:00Z_2024-10-18T00:00:00Z,Merigomish Harbour,Olding Island,3.0,2024-05-15T00:00:00Z,2024-10-18T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_2.0_2024-05-15T00:00:00Z_2024-10-18T00:00:00Z,Merigomish Harbour,Olding Island,2.0,2024-05-15T00:00:00Z,2024-10-18T00:00:00Z
Pictou_Merigomish Harbour_Olding Island_5.0_2024-05-15T00:00:00Z_2024-10-18T00:00:00Z,Merigomish Harbour,Olding Island,5.0,2024-05-15T00:00:00Z,2024-10-18T00:00:00Z
Queens_Liverpool Bay_Mersey Point_15.0_2020-06-25T00:00:00Z_2021-08-13T00:00:00Z,Liverpool Bay,Mersey Point,15.0,2020-06-25T00:00:00Z,2021-08-13T00:00:00Z
Queens_Liverpool Bay_Mersey Point_5.0_2020-06-25T00:00:00Z_2021-08-13T00:00:00Z,Liverpool Bay,Mersey Point,5.0,2020-06-25T00:00:00Z,2021-08-13T00:00:00Z
Queens_Liverpool Bay_Mersey Point_2.0_2020-06-25T00:00:00Z_2021-08-13T00:00:00Z,Liverpool Bay,Mersey Point,2.0,2020-06-25T00:00:00Z,2021-08-13T00:00:00Z
Queens_Liverpool Bay_Mersey Point_10.0_2020-06-25T00:00:00Z_2021-08-13T00:00:00Z,Liverpool Bay,Mersey Point,10.0,2020-06-25T00:00:00Z,2021-08-13T00:00:00Z
Queens_Liverpool Bay_Mersey Point_5.0_2021-08-13T00:00:00Z_2022-08-10T00:00:00Z,Liverpool Bay,Mersey Point,5.0,2021-08-13T00:00:00Z,2022-08-10T00:00:00Z
Queens_Liverpool Bay_Mersey Point_10.0_2021-08-13T00:00:00Z_2022-08-10T00:00:00Z,Liverpool Bay,Mersey Point,10.0,2021-08-13T00:00:00Z,2022-08-10T00:00:00Z
